citys                                      ,content                                                                                                                                                                                                                                                                                                                                                               ,evaluate,labs,nams          ,scores,times          ,user_info                                              ,votes
['内蒙古呼伦贝尔']                                ,一群好几百岁的人叽叽歪歪像一群青春期的小孩，三个小时的时长就靠没完没了的与过去的自己相遇+废话连篇。谁还没有个爱的人咋的！                                                                                                                                                                                                                                                                                                         ,较差      ,看过  ,蜉蝣            ,['20'],2019/4/24 2:03 ,"['70121595 ', ' 2013-03-13加入']"                       ,2773
[]                                         ,将近300元买的杜比首映场，是真的不值。除了花里胡哨的特效外，一无是处，没有插科打诨和反高潮冷笑话，漫威就不会拍电影啦？花了十年塑造的人物形象性格在本作随意全部推翻，每个人所做的决策都不计后果，意气用事，幼稚且儿戏。巨作难逃烂尾，或许真的是个定律。                                                                                                                                                                                                                                          ,很差      ,看过  ,乐乎            ,['10'],2019/4/24 0:00 ,"['195423617 ', ' 2019-04-23加入']"                      ,2665
['北京']                                     ,前20分钟真的以为罗素兄弟要捧出什么好菜，适量精准的文戏和反高潮的设置让我眼前一亮。然后电影就进入了前所未有的格外冗长的英雄重聚段落，紧接着是打着红旗反红旗的罔顾所有悖论的时空旅行。时间线变得空前混乱，拯救世界变得空前儿戏，好莱坞大片标准模式化叙事卷土重来。当生命变成某种可以轻易篡改的东西，它的诞生或者逝去就不会对观众产生丝毫情感冲击。这也就是为什么片末所谓史诗对决还是被世纪初的《指环王》吊打。所以，21部电影的铺垫，媒体的造神运动和公众的趋之若鹜，开启的不过是一场极度粉丝向的闹剧，一次对青春和情怀的过度消费，一次漫威宇宙的自我致敬/重复，一次超级英雄电影彻底暴露其娱乐商品属性的全民跟风运动。在零点场的抽泣、欢呼和掌声里，我感到自己是个彻底的局外人，是时候警惕创作者对荷尔蒙居高临下的操控了。        ,较差      ,看过  ,晚不安           ,['20'],2019/4/24 3:56 ,"['yellowmoonbird ', ' 2011-03-18加入']"                 ,2270
"['London, United Kingdom']"               ,不得不承认流量在这个时代主宰世界                                                                                                                                                                                                                                                                                                                                                      ,很差      ,看过  ,宁人干           ,['10'],2019/4/24 3:50 ,"['160328781 ', ' 2017-04-15加入']"                      ,1907
['四川成都']                                   ,"三小时超长CP混剪，还是水准贼烂的那种，十年你就给我这个丢人的玩意作答卷？
固定镜头吃概念美术，绿幕抠不干净，配乐莫名其妙，打戏除了队长solo部分其余全部不堪入目，剧本毫无逻辑全靠元素堆砌，人物弧光全线崩塌，更有甚者直接倒退回第一阶段。
收官之作竟如此敷衍了事，谁给你们的勇气把这种东西称作电影的？？？"                                                                                                                                                                                                                                                                                     ,很差      ,看过  ,肉馒头君          ,['10'],2019/4/24 4:44 ,"['185771115 ', ' 2018-10-12加入']"                      ,1232
['上海']                                     ,越来越觉得幼稚的电影，也很讨厌漫威所谓的宣传，相比较《指环王》，这电影简直暴敛天物，占用这么好的演员资源，求求斯嘉丽别再演黑寡妇了，演技都快没了，浪费我的IMAX钱，没看完就离场了，以后绝对不看首映了!                                                                                                                                                                                                                                                                 ,较差      ,看过  ,JoMo          ,['20'],2019/4/24 1:21 ,"['157024605 ', ' 2017-01-30加入']"                      ,937
[]                                         ,无聊，文戏多到过分了吧。                                                                                                                                                                                                                                                                                                                                                          ,很差      ,看过  ,笑嘻嘻           ,['10'],2019/4/24 2:18 ,"['166146504 ', ' 2017-08-30加入']"                      ,938
['云南昆明']                                   ,如果可以打负分，我可以打个负一亿分。有人牛逼哄哄的说，如果不喜欢这电影，说明你不是漫威粉，没看过全篇的故事。我自问电影看全，票房贡献够，漫画也算看了个几千本，但看来这电影的导演和拥护者觉得雷神粉没有粉格，或者他们概念里不存在雷神粉。那行吧，作为一个不存在的人，祝你们快乐。                                                                                                                                                                                                                              ,很差      ,看过  ,青泥            ,['10'],2019/4/24 11:22,"['mmmmmr ', ' 2006-08-21加入']"                         ,896
['江苏南京']                                   ,I'm not satisfied.史诗级的片长，这么多年的铺垫，漫威本可以靠这部最终篇跳出商业爆米花的标签，谁知最后端出的依旧是段子、爽点的乱炖。一切都那么的刻意和不自然，就像女士们的突然齐步走，就像最后那一个响指，就像明明该是巴基却给了山姆。                                                                                                                                                                                                                                           ,较差      ,看过  ,神秘金针菇         ,['20'],2019/4/24 3:05 ,"['secretjinzhengu ', ' 2009-08-13加入']"                ,777
['湖北武汉']                                   ,情怀是最没用的东西。                                                                                                                                                                                                                                                                                                                                                            ,很差      ,看过  ,枫             ,['10'],2019/4/24 8:08 ,"['119062690 ', ' 2014-12-31加入']"                      ,598
